gene_id,variant,status,all_transcription_success,all_translation_success,max_mrna,max_protein,mean_mrna,mean_protein
EG10001,1,analyzed,5,64,4.0,4.0,0.42258883248730966,0.6300761421319797
EG10004,1,analyzed,2,0,6.0,14.0,0.9010152284263959,5.006979695431472
EG10011,1,analyzed,4,0,3.0,714.0,0.37753807106598986,439.48223350253807
EG10014,1,analyzed,0,202,1.0,28.0,0.06725888324873096,2.1269035532994924
EG10015,1,analyzed,7,0,7.0,963.0,1.486040609137056,558.5951776649746
EG10016,1,analyzed,0,0,0.0,2.0,0.0,0.5520304568527918
EG10017,1,analyzed,29,0,8.0,5.0,1.7944162436548223,0.8210659898477157
EG10018,1,analyzed,0,0,1.0,4.0,0.05139593908629442,0.8578680203045685
EG10026,1,analyzed,0,0,0.0,2.0,0.0,0.057741116751269035
EG10031,1,analyzed,22,55,14.0,44.0,4.727157360406092,21.494289340101524
EG10033,1,analyzed,1,0,2.0,3.0,0.26713197969543145,0.1998730964467005
EG10034,1,analyzed,37,1083,14.0,9.0,3.7379441624365484,1.2810913705583757
EG10035,1,analyzed,4,0,6.0,7.0,1.8781725888324874,1.986040609137056
EG10039,1,analyzed,7,24717,6.0,9.0,1.8629441624365481,3.1643401015228427
EG10040,1,analyzed,1,0,3.0,1485.0,0.29378172588832485,223.996192893401
EG10044,1,analyzed,9,0,5.0,2413.0,1.4111675126903553,1263.652918781726
EG10046,1,analyzed,0,38725,0.0,1.0,0.0,0.15038071065989847
EG10050,1,analyzed,0,0,0.0,1.0,0.0,0.15038071065989847
EG10051,1,analyzed,21,39,8.0,10.0,2.2392131979695433,1.5456852791878173
EG10054,1,analyzed,1,0,2.0,2.0,0.20431472081218274,0.3299492385786802
EG10003,1,analyzed,5,0,3.0,573.0,0.45114213197969544,318.88832487309645
EG10013,1,analyzed,6,0,4.0,318.0,0.34073604060913704,99.89340101522842
EG10028,1,analyzed,2,0,3.0,797.0,0.3870558375634518,378.9029187817259
EG10030,1,analyzed,1,0,3.0,838.0,0.24048223350253808,252.85152284263958
EG10032,1,analyzed,25,387,12.0,12555.0,4.875,7901.26269035533
EG10043,1,analyzed,3,0,3.0,437.0,0.2626903553299492,235.6751269035533
EG10071,1,analyzed,11,216,6.0,2459.0,1.7614213197969544,1344.1795685279187
EG10084,1,analyzed,6,230,4.0,801.0,1.0374365482233503,318.757614213198
EG10085,1,analyzed,0,0,0.0,241.0,0.0,75.58058375634518
EG10107,1,analyzed,5,0,4.0,662.0,0.4467005076142132,295.63071065989845
EG10108,1,analyzed,33,0,20.0,22419.0,9.829314720812183,14477.269035532994
EG10112,1,analyzed,2,37,2.0,86.0,0.2620558375634518,36.48794416243655
EG10122,1,analyzed,0,0,2.0,333.0,0.23730964467005075,146.26903553299493
EG10124,1,analyzed,0,0,3.0,303.0,0.3483502538071066,79.86675126903553
EG10129,1,analyzed,1,89,3.0,796.0,0.5342639593908629,304.3819796954315
EG10138,1,analyzed,3,158,2.0,230.0,0.2398477157360406,107.22842639593908
EG10160,1,analyzed,0,0,4.0,984.0,0.4593908629441624,433.2246192893401
EG10167,1,analyzed,2,0,3.0,324.0,0.5139593908629442,182.12563451776649
EG10170,1,analyzed,49,1279,7.0,237.0,2.0393401015228427,126.42956852791878
EG10172,1,analyzed,18,0,5.0,2489.0,1.4238578680203047,1352.0184010152284
